"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1616.mp4","16.45","525.79","42.26","-483.53","-91.96","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1619.mp4","21.67","646.62","52.20","-594.43","-91.93","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1621.mp4","29.92","923.39","74.67","-848.72","-91.91","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1623.mp4","14.08","433.04","34.35","-398.69","-92.07","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\Download\20151123_212957.mp4","4.41","293.49","56.23","-237.27","-80.84","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\Download\20160718_204534.mp4","3.26","213.84","41.03","-172.81","-80.81","h264"
"E:\Fotos\TELEMOVEL\JUNHO 2018\Camera\20180203_115550.mp4","9.54","315.23","53.66","-261.58","-82.98","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\Camera\Barco Quarteira\20180718_110117.mp4","6.20","229.97","38.14","-191.83","-83.42","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\Camera\Barco Quarteira\20180807_110313.mp4","9.26","364.22","59.66","-304.57","-83.62","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\Camera\Temp\20180819_003619.mp4","1226.72","242.07","184.42","-57.65","-23.82","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\motivartion\Instagram_2018-07-02-11-02-12.mp4","36.45","942.60","268.01","-674.60","-71.57","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\motivartion\Instagram_2018-07-17-10-10-41.mp4","17.48","445.79","125.51","-320.28","-71.85","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\motivartion\Instagram_2018-07-26-01-10-46.mp4","12.97","329.16","93.33","-235.83","-71.65","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\motivartion\Instagram_2018-07-28-14-25-35.mp4","13.82","347.72","98.35","-249.36","-71.72","h264"
"E:\Fotos\TELEMOVEL\SETEMBRO 2018\SETEMBRO 2018\motivartion\Instagram_2018-08-08-08-48-47.mp4","19.12","479.96","136.89","-343.06","-71.48","h264"
"E:\Fotos\TELEMOVEL\Temp\20150412_195547.mp4","6.32","263.94","36.94","-226.99","-86.00","h264"
"E:\Fotos\TELEMOVEL\Temp\ZORAKI 914 FULL AUTO blank pistol.mp4","17.29","254.18","271.85","+17.67","+6.95","h264"
"E:\Fotos\TELEMOVEL\temp galaxy\20150704_162345.mp4","5.16","326.29","61.91","-264.38","-81.03","h264"
"E:\Fotos\temp big gym\GOPR1095.mp4","15.16","474.70","36.73","-437.97","-92.26","h264"
"E:\Fotos\temp big gym\GOPR1102.mp4","14.03","432.22","32.47","-399.75","-92.49","h264"
"E:\Fotos\temp big gym\GOPR1103.mp4","13.10","397.73","30.88","-366.85","-92.24","h264"
